text,subcategory,label,Prediction
Demokrasi vardır bu ülkede ondandır diyeyim !,sarachane,1,0
"partinizin ve Cumhurbaşkanınızın dahli olmadığına inandık (!) inandık (!)... He he..""",sarachane,1,0
"""Maalesef eşiniz beyefendiyi """"mat"""" ettirmiş bulunmaktasınız sayın dilek imamoğlu. #ÇILGINTÜRKLER Eşiniz kapatılma rotasına girmiş sapkın heretik tarikat/cemaatlere can simitligi yapmıştır. Hatalı zamanlama... Üzgünüm """"mat"""" oldu eşiniz. Hem de kendi eliyle. NÖTR ZEKÂ""",sarachane,1,0
"haklarımız""",maden_2024,1,0
"seçimlerin yapıldığı İlk günden bu yana İstanbul'da her 4 kişiden 3'ü ""bu kişiye oy vermedim.."" diyor, dünde azınlık görüldü, ""16 milyon oy aldım""yalanını ""çaldım"" olarak itiraf ettirene kadar bu soysuzları kovalayacağız.. Yerel seçimler YSK nın içindeki FETÖPKK eli ile çalındı.",sarachane,1,0
"çıldırıyorum""",deprem,1,0
"bu risklerden dolayı şu anda sahada arama faaliyetlerini durdurmuş""",maden_2024,1,0
"herkese aynı işletilmelidir. 22 yılın hesabı inşallah sorulacaktır.""",sarachane,1,0
"suç listene istanbulu eklemene izin vermeyeceğiz""",maden_2024,1,0
"bildiniz onu.""",sarachane,1,0
"hemen beraat edemeyebilir.""",maden_2024,1,0
TRT genel müdürü çok yavsaksin,15temmuz,1,0
"depremi secim malzemesi olarak kullaniyorlar.""",deprem,1,0
"aklına yım....""",maden_2024,1,0
"nakdi ve ayni yardımlar yapanlarız.Oturdugumuz yerden ahkam kesenler eleştirenler çok+""",deprem,1,0
"kötümü yapmış.""",deprem,1,0
"ve meclis bombalanırken, ordunun diğer uçakları nerededir ve niye müdahale etmez",15temmuz,1,0
"480 milyon dolarlık teşvik düzenlemesi. Emekli maaşları""",maden_2024,1,0
"öbür yandan kıvılcımı çakılan 15 temmuz bahsini kapatmak.Kurucu ilkeleri çiğneyerek yeni anayasanın önhazırlığı da bonus. Bir taşla kaç kuş .""",maden_2024,1,0
"yoruz diyorlar.""",maden_2024,1,0
"#Afrin'e bağlı #Cinderesi'nde 4 yaşında 1 çocuğu olarak kurtardılar. Çok Şükür.""",deprem,1,0
"karışmıyor gülüyorum sadece""",bogazici_2021,1,0
"memleketi zehirlemeye devam eder.""",maden_2024,1,0
"bilemedim . Black mirror konusu gibi olaylar""",maden_2024,1,0
"intizarla cecelinin eski esinin iliskisinin rahatsiz ediciligi dusuncesi. Ahlaksiz toplumun ahlak yargilari""",corlu_2018,1,0
